DEPTH_m	DHAP_psi	DHAT_degC
109.0301	1766.0000	8.0000
109.1825	1764.0000	8.0000
109.3349	1768.0000	8.0000
109.4873	1767.0000	8.0000
109.6397	1766.0000	8.0000
109.7921	1768.0000	8.0000
109.9445	1768.0000	8.0000
110.0969	1768.0000	8.0000
110.2493	1768.0000	8.0000
110.4017	1770.0000	8.0000
110.5541	1770.0000	8.0000
110.7065	1768.0000	8.0000
110.8589	1768.0000	8.0000
111.0113	1771.0000	8.0000
111.1637	1768.0000	8.0000
111.3161	1771.9921	8.0000
111.4685	1772.0000	8.0000
111.6209	1770.0000	8.0000
111.7733	1773.0000	8.0000
111.9257	1773.0000	8.0000
112.0781	1774.0000	8.0000
112.2305	1774.0000	8.0000
112.3829	1773.0000	8.0000
112.5353	1776.0000	8.0000
112.6877	1771.0000	8.0000
112.8401	1773.0000	8.0000
112.9925	1773.0000	8.0000
113.1449	1772.0000	8.0000
113.2973	1773.0000	8.0000
113.4497	1774.0000	8.0000
113.6021	1774.0000	8.0000
113.7545	1778.0000	8.0000
113.9069	1777.0000	8.0000
114.0593	1776.0000	8.0000
114.2117	1777.0000	8.0000
114.3641	1778.0000	8.0000
114.5165	1778.0000	8.0000
114.6689	1776.0000	8.0000
114.8213	1779.0000	8.0000
114.9737	1777.0000	8.0000
115.1261	1778.0000	8.0000
115.2785	1781.0000	8.0000
115.4309	1780.0000	8.0000
115.5833	1778.0079	8.0000
115.7357	1779.0000	8.0000
115.8881	1779.0000	8.0000
116.0405	1779.0000	8.0000
116.1929	1778.0000	8.0000
116.3453	1781.0000	8.0000
116.4977	1780.0000	8.0000
116.6501	1781.9960	8.0000
116.8025	1783.0000	8.0000
116.9549	1783.0000	8.0000
117.1073	1781.0000	8.0000
117.2597	1783.0000	8.0000
117.4121	1783.0000	8.0000
117.5645	1781.0000	8.0000
117.7169	1783.0000	8.0000
117.8693	1784.0000	8.0000
118.0217	1784.0000	8.0000
118.1741	1784.0000	8.0000
118.3265	1784.0000	8.0000
118.4789	1786.0000	8.0000
118.6313	1787.0000	8.0000
118.7837	1787.0000	8.0000
118.9361	1786.0000	8.0000
119.0885	1787.0000	8.0000
119.2409	1788.0000	8.0000
119.3933	1787.0000	8.0000
119.5457	1789.0000	8.0000
119.6981	1787.0000	8.0000
119.8505	1787.0000	8.0000
120.0029	1787.0000	8.0000
120.1553	1790.0000	8.0000
120.3077	1789.0000	8.0000
120.4601	1787.0000	8.0000
120.6125	1788.0000	8.0000
120.7649	1788.0000	8.0000
120.9173	1788.0000	8.0000
121.0697	1793.0000	8.0000
121.2221	1790.0000	8.0000
121.3745	1792.0000	8.0000
121.5269	1790.0000	8.0000
121.6793	1791.0000	8.0000
121.8317	1792.0000	8.0000
121.9841	1791.0000	8.0000
122.1365	1794.0000	8.0000
122.2889	1792.9880	8.0000
122.4413	1792.0000	8.0000
122.5937	1794.0000	8.0000
122.7461	1793.0000	8.0000
122.8985	1794.0000	8.0000
123.0509	1796.0000	8.0000
123.2033	1795.9921	8.0000
123.3557	1796.0000	8.0000
123.5081	1792.0000	8.0000
123.6605	1795.0000	8.0000
123.8129	1794.0000	8.0000
123.9653	1794.0000	8.0000
124.1177	1796.0000	8.0000
124.2701	1796.0000	8.0000
124.4225	1795.0000	8.0000
124.5749	1795.0000	8.0000
124.7273	1795.0000	8.0000
124.8797	1796.0000	8.0000
125.0321	1796.0000	8.0000
125.1845	1796.9960	8.0000
125.3369	1797.0000	8.0000
125.4893	1797.0000	8.0000
125.6417	1799.0000	8.0000
125.7941	1797.0000	8.0000
125.9465	1796.0000	8.0000
126.0989	1799.0000	8.0000
126.2513	1798.0000	8.0000
126.4037	1798.0000	8.0000
126.5561	1798.0000	8.0000
126.7085	1801.0000	8.0000
126.8609	1800.0000	8.0000
127.0133	1799.0000	8.0000
127.1657	1799.0000	8.0000
127.3181	1801.0000	8.0000
127.4705	1800.0000	8.0000
127.6229	1803.0000	8.0000
127.7753	1802.0000	8.0000
127.9277	1801.0000	8.0000
128.0801	1803.0000	8.0000
128.2325	1801.0000	8.0000
128.3849	1802.0000	8.0000
128.5373	1803.0000	8.0000
128.6897	1803.0000	8.0000
128.8421	1803.0000	8.0000
128.9945	1800.0000	8.0000
129.1469	1803.0000	8.0000
129.2993	1804.0000	8.0000
129.4517	1805.0000	8.0000
129.6041	1807.0000	8.0000
129.7565	1803.0000	8.0000
129.9089	1805.0000	8.0000
130.0613	1804.0000	8.0000
130.2137	1802.0000	9.0000
130.3661	1805.0000	9.0000
130.5185	1805.0000	9.0000
130.6709	1804.0000	9.0000
130.8233	1806.0000	8.0000
130.9757	1805.0000	9.0000
131.1281	1806.0000	9.0000
131.2805	1806.0000	9.0000
131.4329	1806.0000	9.0000
131.5853	1805.9960	9.0000
131.7377	1804.0000	9.0000
131.8901	1807.0000	9.0000
132.0425	1810.0000	9.0000
132.1949	1807.0000	9.0000
132.3473	1807.0000	9.0000
132.4997	1809.0000	9.0000
